gene_name,log2FoldChange.KO_Inf_8h_KO_Mock_8h,padj.KO_Inf_8h_KO_Mock_8h,diff.KO_Inf_8h_KO_Mock_8h,log2FoldChange.WT_Inf_8h_WT_Mock_8h,padj.WT_Inf_8h_WT_Mock_8h,diff.WT_Inf_8h_WT_Mock_8h,mean_KO_Inf_8h,mean_KO_Mock_8h,mean_WT_Inf_8h,mean_WT_Mock_8h
LINC00115,1.53355595769529,9.78926367885656e-13,Up,0.945391599123804,1.6932061500779e-05,No,196.168584935457,60.7948084710257,188.738485167665,92.8216270650005
LINC01128,0.0175207593738704,0.915853474172136,No,0.349648495295195,0.00107715996184952,No,604.689762924346,597.476340967726,693.605361861772,541.287667145789
SAMD11,-0.685246370893527,5.11126118006199e-08,No,-0.730351114115348,7.04441945085712e-08,No,258.854974977,421.425804099627,223.879784518702,377.510351177176
NOC2L,-0.0170742811829775,0.721320425341626,No,0.0891877314177003,0.0164398224255106,No,7759.4748542986,7851.97217449308,8619.08974042945,8099.06907657687
KLHL17,0.121577416006502,0.153368026383268,No,0.142931986690325,0.106159056403466,No,1473.21754676073,1353.75838594463,1222.26066443097,1103.97076267486
PLEKHN1,0.0994538685382529,0.808510331423383,No,0.0431295574639269,0.91357986074757,No,43.5603263508613,39.9415869923619,76.3454842261267,73.5418190210889
HES4,0.323049009918494,0.0117164355119201,No,0.488488758857642,7.65989617167362e-05,No,625.411316052077,496.850502407212,802.504278112049,566.129060927267
ISG15,-0.0497628632077141,0.896021988827394,No,0.323973381771033,0.221542849793546,No,65.2681749065745,67.7747641635902,144.85882052263,113.52064644081
AGRN,-0.646340795049081,2.04473306692166e-23,No,-0.57593573998761,1.2282899511787e-17,No,2876.15630776612,4517.52406059384,2416.65701041896,3612.71215554682
C1orf159,-0.380313396968,0.00848930613774668,No,-0.373353443065428,0.0118968907841764,No,267.690482172405,351.479573310176,300.02700952566,392.25688929159
SDF4,-0.197724510508236,0.000820663396981114,No,-0.216199639701161,0.000343245525945482,No,2770.49224536872,3179.86665194242,2722.84036840252,3163.78893396679
B3GALT6,-0.728377244698407,1.17059241514521e-13,No,-0.531944153435958,1.34993904430121e-06,No,575.200169157759,960.5940549561,444.253645826119,647.097150900715
UBE2J2,-0.384769132215266,7.75304642995882e-09,No,-0.33281478596483,2.52384766910168e-06,No,1673.29868735565,2188.87331235953,1507.6499550821,1903.94794195877
